,0,1,2
0,DIN001,KPI_Climate_CPD_IP,678285
1,DIN001,KPI_ReachCTP_CPD_IP,2028998
2,DIN001,KPI_ReachDRER_CPD_IP,569125
3,DIN001,KPI_ReachDRR_CPD_IP,472093
4,DIN001,KPI_ReachH_CPD_IP,4494182
5,DIN001,KPI_ReachL_CPD_IP,64644
6,DIN001,KPI_ReachLTSPD_CPD_IP,244306
7,DIN001,KPI_ReachM_CPD_IP,337454
8,DIN001,KPI_ReachRCRCEd_CPD_IP,543362
9,DIN001,KPI_ReachS_CPD_IP,117246
10,DIN001,KPI_ReachSI_CPD_IP,453452
11,DIN001,KPI_ReachWASH_CPD_IP,1420528
12,DIN001,KPI_TrainFA_Tot_IP,251480
13,DKR001,KPI_TrainFA_Tot_IP,270000
14,DIN001,KPI_DonBlood_Tot_IP,556475
15,DIN001,KPI_GB_Tot_IP,12
16,DIN001,KPI_PeopleVol_Tot_IP,4010811
17,DIN001,KPI_PStaff_Tot_IP,2296
18,DIN001,KPI_noLocalUnits_IP,1247
19,DIN001,KPI_IncomeLC_CHF_IP,21695937
20,DIN001,KPI_expenditureLC_CHF_IP,13661588
